,Query Path,SAT/UNSAT,Depths,algaroba with pause based on depth
17,../blocksworld/blocksworld_from_9_4_4_to_14_1_2_negated_goal_bmc_3.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 83, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q: 9, Record_left_center_right: 8, }",0.024457454681396484
18,../blocksworld/blocksworld_from_22_0_2_to_9_12_3_negated_goal_bmc_18.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 276, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X: 54, Record_left_center_right: 23, }",0.06286740303039551
19,../blocksworld/blocksworld_from_5_1_10_to_4_9_3_negated_goal_bmc_3.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 81, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P: 9, Record_left_center_right: 8, }",0.030752897262573242
20,../blocksworld/blocksworld_from_2_12_9_to_0_10_13_negated_goal_bmc_4.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 106, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 12, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 9, }",0.02840900421142578
21,../blocksworld/blocksworld_from_5_21_0_to_20_6_0_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 258, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 48, Record_left_center_right: 21, }",0.06321358680725098
22,../blocksworld/blocksworld_from_20_2_0_to_8_7_7_negated_goal_bmc_6.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 130, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 11, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V: 18, }",0.02841472625732422
23,../blocksworld/blocksworld_from_20_0_0_to_17_2_1_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 174, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T: 30, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 15, }",0.0701758861541748
24,../blocksworld/blocksworld_from_1_1_0_to_1_0_1_negated_goal_bmc_1.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 28, Enum_A_B: 3, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 6, }",0.0216066837310791
25,../blocksworld/blocksworld_from_6_3_5_to_9_4_1_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'sat'},"{Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N: 30, Tower: 160, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 15, }",0.035596609115600586
26,../blocksworld/blocksworld_from_4_19_1_to_0_8_16_negated_goal_bmc_22.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 326, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X: 66, Record_left_center_right: 27, }",0.08713483810424805
