,Query Path,SAT/UNSAT,Depths,Algaroba
17,../blocksworld/blocksworld_from_6_3_5_to_9_4_1_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'unsat'},"{Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N: 30, Tower: 160, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 15, }",1.9321985244750977
18,../blocksworld/blocksworld_from_20_0_0_to_17_2_1_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 174, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T: 30, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 15, }",2.879788875579834
19,../blocksworld/blocksworld_from_0_18_5_to_17_0_6_negated_goal_bmc_12.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 203, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 36, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 17, }",3.697681188583374
20,../blocksworld/blocksworld_from_12_1_0_to_1_12_0_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 160, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 30, Record_left_center_right: 15, }",2.0964736938476562
21,../blocksworld/blocksworld_from_10_5_6_to_13_6_2_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 164, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 14, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U: 27, }",0.7118885517120361
22,../blocksworld/blocksworld_from_4_4_3_to_4_3_4_negated_goal_bmc_6.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 107, Enum_A_B_C_D_E_F_G_H_I_J_K: 18, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 11, }",0.3263721466064453
23,../blocksworld/blocksworld_from_9_7_0_to_9_6_1_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 154, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P: 27, Record_left_center_right: 14, }",1.1904675960540771
24,../blocksworld/blocksworld_from_0_7_3_to_8_1_1_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 130, Enum_A_B_C_D_E_F_G_H_I_J: 24, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 13, }",0.5122714042663574
25,../blocksworld/blocksworld_from_0_0_8_to_1_3_4_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 135, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H: 27, Record_left_center_right: 14, }",7.537315368652344
26,../blocksworld/blocksworld_from_12_1_0_to_11_1_1_negated_goal_bmc_13.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 195, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 39, Record_left_center_right: 18, }",16.297028303146362
