,Query Path,length-before,length-after,ratio
443,../blocksworld/blocksworld_from_24_1_0_to_20_2_3_negated_goal_bmc_26.smt2,215,146170,679.8604651162791
444,../blocksworld/blocksworld_from_5_21_0_to_20_6_0_negated_goal_bmc_9.smt2,96,32293,336.3854166666667
445,../blocksworld/blocksworld_from_12_1_3_to_11_1_4_negated_goal_bmc_20.smt2,173,84932,490.9364161849711
446,../blocksworld/blocksworld_from_21_1_2_to_14_3_7_negated_goal_bmc_6.smt2,75,19188,255.84
447,../blocksworld/blocksworld_from_11_0_10_to_18_1_2_negated_goal_bmc_24.smt2,201,122758,610.7363184079602
448,../blocksworld/blocksworld_from_16_4_2_to_16_3_3_negated_goal_bmc_1.smt2,40,5561,139.025
449,../blocksworld/blocksworld_from_20_0_1_to_1_2_18_negated_goal_bmc_14.smt2,131,52958,404.25954198473283
450,../blocksworld/blocksworld_from_6_1_1_to_1_5_2_negated_goal_bmc_9.smt2,96,20584,214.41666666666666
451,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_23.smt2,194,121277,625.139175257732
452,../blocksworld/blocksworld_from_5_4_17_to_12_6_8_negated_goal_bmc_22.smt2,187,113049,604.5401069518716
453,../blocksworld/blocksworld_from_2_4_0_to_0_3_3_negated_goal_bmc_0.smt2,33,942,28.545454545454547
454,../blocksworld/blocksworld_from_5_7_12_to_9_3_12_negated_goal_bmc_1.smt2,40,6159,153.975
455,../blocksworld/blocksworld_from_7_5_0_to_1_8_3_negated_goal_bmc_17.smt2,152,61739,406.17763157894734
456,../blocksworld/blocksworld_from_4_19_1_to_0_8_16_negated_goal_bmc_4.smt2,61,13275,217.62295081967213
457,../blocksworld/blocksworld_from_8_6_9_to_13_1_9_negated_goal_bmc_12.smt2,117,44092,376.85470085470087
458,../blocksworld/blocksworld_from_0_3_6_to_2_0_7_negated_goal_bmc_9.smt2,96,21147,220.28125
459,../blocksworld/blocksworld_from_3_1_12_to_15_0_1_negated_goal_bmc_28.smt2,229,150180,655.8078602620087
460,../blocksworld/blocksworld_from_2_8_5_to_9_6_0_negated_goal_bmc_26.smt2,215,131420,611.2558139534884
461,../blocksworld/blocksworld_from_13_6_1_to_19_0_1_negated_goal_bmc_31.smt2,250,186180,744.72
462,../blocksworld/blocksworld_from_2_7_2_to_4_3_4_negated_goal_bmc_18.smt2,159,66832,420.32704402515725
463,../blocksworld/blocksworld_from_3_1_12_to_15_0_1_negated_goal_bmc_19.smt2,166,78072,470.31325301204816
464,../blocksworld/blocksworld_from_17_0_1_to_18_0_0_negated_goal_bmc_21.smt2,180,95101,528.3388888888888
465,../blocksworld/blocksworld_from_17_2_3_to_8_7_7_negated_goal_bmc_14.smt2,131,53869,411.21374045801525
466,../blocksworld/blocksworld_from_0_24_0_to_2_11_11_negated_goal_bmc_24.smt2,201,126955,631.6169154228855
467,../blocksworld/blocksworld_from_0_4_7_to_4_4_3_negated_goal_bmc_15.smt2,138,49057,355.4855072463768
468,../blocksworld/blocksworld_from_12_0_7_to_18_0_1_negated_goal_bmc_10.smt2,103,31688,307.6504854368932
469,../blocksworld/blocksworld_from_6_4_13_to_0_16_7_negated_goal_bmc_27.smt2,222,152392,686.4504504504505
470,../blocksworld/blocksworld_from_10_5_6_to_13_6_2_negated_goal_bmc_11.smt2,110,37634,342.1272727272727
471,../blocksworld/blocksworld_from_2_5_13_to_12_7_1_negated_goal_bmc_20.smt2,173,90191,521.335260115607
472,../blocksworld/blocksworld_from_12_1_0_to_11_1_1_negated_goal_bmc_19.smt2,166,74799,450.59638554216866
473,../blocksworld/blocksworld_from_3_1_18_to_3_16_3_negated_goal_bmc_39.smt2,306,283569,926.6960784313726
474,../blocksworld/blocksworld_from_20_2_0_to_13_2_7_negated_goal_bmc_15.smt2,138,59601,431.89130434782606
475,../blocksworld/blocksworld_from_1_21_4_to_17_7_2_negated_goal_bmc_17.smt2,152,76229,501.50657894736844
476,../blocksworld/blocksworld_from_3_1_18_to_3_16_3_negated_goal_bmc_8.smt2,89,25525,286.7977528089888
477,../blocksworld/blocksworld_from_9_12_5_to_20_1_5_negated_goal_bmc_20.smt2,173,96229,556.2369942196532
478,../blocksworld/blocksworld_from_16_2_1_to_12_6_1_negated_goal_bmc_29.smt2,236,165220,700.0847457627119
479,../blocksworld/blocksworld_from_5_0_8_to_7_5_1_negated_goal_bmc_5.smt2,68,11015,161.98529411764707
480,../blocksworld/blocksworld_from_4_0_5_to_8_0_1_negated_goal_bmc_8.smt2,89,17791,199.8988764044944
481,../blocksworld/blocksworld_from_21_0_4_to_10_10_5_negated_goal_bmc_46.smt2,355,386295,1088.1549295774648
482,../blocksworld/blocksworld_from_1_7_5_to_6_4_3_negated_goal_bmc_24.smt2,201,111918,556.8059701492538
483,../blocksworld/blocksworld_from_4_2_8_to_7_1_6_negated_goal_bmc_16.smt2,145,55917,385.63448275862066
484,../blocksworld/blocksworld_from_24_1_0_to_20_2_3_negated_goal_bmc_34.smt2,271,228890,844.6125461254612
485,../blocksworld/blocksworld_from_0_24_0_to_2_11_11_negated_goal_bmc_40.smt2,313,300843,961.1597444089457
486,../blocksworld/blocksworld_from_21_0_4_to_10_10_5_negated_goal_bmc_32.smt2,257,205583,799.9338521400779
487,../blocksworld/blocksworld_from_6_20_0_to_1_12_13_negated_goal_bmc_45.smt2,348,375157,1078.037356321839
488,../blocksworld/blocksworld_from_0_18_1_to_17_2_0_negated_goal_bmc_12.smt2,117,40848,349.12820512820514
489,../blocksworld/blocksworld_from_0_3_6_to_2_0_7_negated_goal_bmc_14.smt2,131,42247,322.4961832061069
490,../blocksworld/blocksworld_from_21_1_2_to_14_3_7_negated_goal_bmc_23.smt2,194,117856,607.5051546391752
491,../blocksworld/blocksworld_from_20_0_1_to_1_2_18_negated_goal_bmc_19.smt2,166,84258,507.578313253012
492,../blocksworld/blocksworld_from_15_6_4_to_10_2_13_negated_goal_bmc_44.smt2,341,355838,1043.5131964809384
493,../blocksworld/blocksworld_from_9_1_7_to_11_1_5_negated_goal_bmc_28.smt2,229,152490,665.8951965065502
494,../blocksworld/blocksworld_from_5_8_2_to_8_0_7_negated_goal_bmc_26.smt2,215,131420,611.2558139534884
495,../blocksworld/blocksworld_from_1_21_4_to_17_7_2_negated_goal_bmc_37.smt2,292,266709,913.3869863013699
496,../blocksworld/blocksworld_from_8_6_9_to_13_1_9_negated_goal_bmc_28.smt2,229,161916,707.056768558952
497,../blocksworld/blocksworld_from_11_6_0_to_8_0_9_negated_goal_bmc_32.smt2,257,192314,748.3035019455253
498,../blocksworld/blocksworld_from_17_2_1_to_19_1_0_negated_goal_bmc_39.smt2,306,279355,912.9248366013072
499,../blocksworld/blocksworld_from_24_1_0_to_20_2_3_negated_goal_bmc_48.smt2,369,418002,1132.7967479674796
